name,sku,price,description,stock_level,image_path,main_category,subcategory
Professional Claw Hammer 16oz,HTHM001600,28,"High-quality steel claw hammer with comfortable fiberglass handle, perfect for framing and general construction work.",25,hand_tools_hammers_professional_claw_hammer_16oz_20250620_181100.png,HAND TOOLS,HAMMERS
Ball Peen Hammer 12oz,HTHM031200,18,"Classic ball peen hammer for metalworking, riveting, and shaping metal with hardened striking surfaces.",44,hand_tools_hammers_ball_peen_hammer_12oz_20250620_181241.png,HAND TOOLS,HAMMERS
Finishing Hammer 13oz,HTHM041300,25,Lightweight finishing hammer with smooth face for trim work and delicate construction tasks.,75,hand_tools_hammers_finishing_hammer_13oz_20250620_181314.png,HAND TOOLS,HAMMERS
Sledge Hammer 3lb,HTHM050300,42,"Heavy-duty sledge hammer for demolition, driving stakes, and breaking concrete with steel handle.",8,hand_tools_hammers_sledge_hammer_3lb_20250620_181350.png,HAND TOOLS,HAMMERS
Phillips Screwdriver Set,HTSD010001,16,Complete Phillips head screwdriver set with magnetic tips and comfortable cushion grips in multiple sizes.,79,hand_tools_screwdrivers_phillips_screwdriver_set_20250620_181424.png,HAND TOOLS,SCREWDRIVERS
Flathead Screwdriver Set,HTSD020001,14,Professional flathead screwdrivers with precision-machined tips and ergonomic handles for various applications.,95,hand_tools_screwdrivers_flathead_screwdriver_set_20250620_181457.png,HAND TOOLS,SCREWDRIVERS
Precision Screwdriver Kit,HTSD030001,22,"Micro precision screwdriver set for electronics, eyeglasses, and small appliance repair work.",30,hand_tools_screwdrivers_precision_screwdriver_kit_20250620_181532.png,HAND TOOLS,SCREWDRIVERS
Insulated Screwdriver Set,HTSD041000,32,Electrician's insulated screwdrivers rated for 1000V with dual-material handles for electrical safety.,80,hand_tools_screwdrivers_insulated_screwdriver_set_20250620_181606.png,HAND TOOLS,SCREWDRIVERS
Ratcheting Screwdriver,HTSD050001,26,Multi-bit ratcheting screwdriver with reversible mechanism and magnetic bit storage in handle.,44,hand_tools_screwdrivers_ratcheting_screwdriver_20250620_181640.png,HAND TOOLS,SCREWDRIVERS
Combination Wrench Set SAE,HTWR000001,45,Standard SAE combination wrenches from 1/4-inch to 1-inch with chrome-vanadium steel construction.,89,hand_tools_wrenches_combination_wrench_set_sae_20250620_181718.png,HAND TOOLS,WRENCHES
